chapter_group,kind_zh,id,name_zh,aliases_zh,corpus_zh,jing_zh,section_zh,mountain_zh,literature_appearance_zh,traits_effects_zh,habitat_ecology_zh,food_web_zh,trophic_role_zh,artistic_portrait_note_zh,related_zh,sources_note_zh
beishan_jing,奇禽,jingwei,精卫,发鸠之精卫鸟,五藏山經,北山經,北次三經,发鸠之山,状如乌，文首、白喙、赤足。,常衔西山木石以堙东海（填海母题，可做持久世界改写机制）。,多柘木；近东海海岸沙丘与岩礁。,小型杂食鸟；叙事上弱化捕食，强调衔运行为对海岸沉积影响（神话级）。,叙事型消费者 / 工程师鸟,乌身赤足白喙，喙中横木石；浪线与沙洲几何层叠。,东海,据《北山經》发鸠之山条大意。
beishan_jing,鳞介,renyu_beifang,人鱼（陵鱼/鱼妇类属）,鲛人系谱旁支,五藏山經,北山經,北山經,龙侯之山（决决之水）,人鱼四足其音如婴儿（系谱各本有异，取通行大意）。,食之已痴疾（精神类异常），可做风险药剂。,决决之水东流注河；河川沙洲与芦苇迷宫。,杂食：螺贝、水草、小型鱼；人类捕捞压力。,次级消费者,幼童啼声水雾，鱼尾四足匍匐浅滩；足印混婴儿与兽。,河伯叙事群,《北山經》人鱼条各本字句不一，此取袁珂校注系大意。
beishan_jing,凶兽,baoxiao,狍鸮,饕餮原型之一,五藏山經,北山經,北次二經,钩吾之山,其状如羊身人面，其目在腋下，虎齿人爪，其音如婴儿。,是食人；贪欲与吞噬机制首选美术母题。,多玉多铜的裂谷；矿尘与血腥叙事对比。,顶级掠食：人类、兽群；自我吞噬隐喻可做异变技能。,顶级消费者,羊身人面的错位感，目藏腋下；婴儿啼与虎齿并置。,饕餮,据《北山經》钩吾之山条大意。
beishan_jing,鳞介,heluo_yu,何罗之鱼,,五藏山經,北山經,北次三經,谯明之山（谯水）,一首十身，其音如犬吠。,食之已痈（痈疽类），可做高风险治疗素材。,谯水西流注河；急流深潭与砾石河床。,肉食或杂食底栖；十身或示群聚幻影（游戏机制化）。,中级消费者,一首十身扇形展开，犬吠声浪震动卵石。,谯水,据《北山經》谯明之山条。
beishan_jing,异兽,ershu,耳鼠,,五藏山經,北山經,北次三經,丹熏之山,状如鼠，而菟首麋身，其音如嗥犬，以其尾飞。,食之不䐆，又可以御百毒（抗毒/缓饿类肉鸽祝福）。,多臭椿、多红白垩；干燥坡地与灌丛。,杂食：种子、昆虫、菌类；猛禽、鼬科捕食。,初级—次级消费者,鼠体麋身，兔耳般首，尾展如小型滑翔翼。,丹熏之山,据《北山經》丹熏之山条大意。
beishan_jing,异兽,mengji,孟极,,五藏山經,北山經,北次三經,石者之山,状如豹，文题（额有花纹）白身，善伏。,潜伏型伏击怪；可做雪地/岩区精英。,石者之山多瑶碧；裸岩与雪线交错带。,肉食：羊、鹿幼体、雉类；与狼、猞猁竞争。,三级消费者,白身豹纹，额题如符；岩影与雪雾分层。,石者之山,据《北山經》石者之山条大意。
beishan_jing,凶兽,zhuhuai,诸怀,,五藏山經,北山經,北次三經,北岳之山,状如牛而四角、人目、彘耳，其音如雁。,是食人；四角冲撞与声诱结合。,北岳多枳棘刚木；寒温交错山地。,顶级掠食：大型草食兽与人；四角种内斗争。,顶级消费者,牛躯四角如冠，人目彘耳；雁鸣混风声。,北岳之山,据《北山經》北岳之山条大意。
beishan_jing,异兽,zuzi,足訾,,五藏山經,北山經,北次三經,蔓联之山,状如牛而马尾，见则国疫（通行整理本大意）。,瘟疫/瘴气 hazard 触发器；与治愈系异兽对位设计。,蔓联无草木；荒坡与病土意象。,草食但伴疫土：粪便或呼吸引发腐生菌异常增殖（神话推演）。,初级消费者 / 灾害载体,牛尾马鬃感，躯体病斑纹理；地面裂纹生灰苔。,疫土叙事,各本字句差异较大，此取袁珂系整理大意。
dahuang_jing,凶兽,jiuying,九婴,,大荒經,大荒北經,大荒北經,凶水之间,九首蛇怪，能喷水吐火。,水火双相 BOSS；羿所杀（英雄叙事）。,凶水多雾；火与水交错带。,掠食大型兽与人；喷火驱离竞争者。,顶级消费者,九颈喷水火双色，鳞片蒸腾白雾。,大羿,据《大荒北經》九婴条大意。
dahuang_jing,神祇,kuafu,夸父,,大荒經,大荒北經,大荒北經,夸父国/追日道,耳挂两黄蛇，手把两黄蛇，逐日道渴而死。,长跑/巨人体型机制；渴死为资源耗尽惩罚隐喻。,河渭大平原与桃林干旱带。,巨人族杂食高消耗；对水体依赖极高。,文化英雄 / 高消耗消费者,巨影跨山，手耳黄蛇如缰；干河裂土。,应龙,据《大荒北經》夸父条大意。
